Artikelnummer;Bezeichnung;Verkauft1;Verkauft2;Verkauft3;Verkauft4
MF-15358;No.1 - The Bro´s Tobacco Aroma 3ml;33;14;42;22
MF-15359;Classic - The Bro´s Tobacco Aroma 3ml;43;11;41;8
MF-15361;Charming - The Bro´s Tobacco Aroma 3ml;2;5;9;13
MF-15452.4;Innokin Endura T18 II - Starter Kit, Schwarz;10;2;;
MF-15452.5;Innokin Endura T18 II - Starter Kit, Silber;8;2;;
MF-15460;Black Hole - Antimatter Aroma 10ml;62;36;57;38
MF-15461;Eleria - Antimatter Aroma 10ml;14;25;27;33
MF-15462;Proxima - Antimatter Aroma 10ml;19;10;20;32
MF-15463;Neutrino - Antimatter Aroma 10ml;72;77;103;106
MF-15483;Cok Güzel - Hayvan Juice Aroma 10ml;76;94;49;37
MF-15484;Ga-Zoz - Hayvan Juice Aroma 10ml;7;2;7;10
MF-15485;Ga-Zoz Cool - Hayvan Juice Aroma 10ml;17;41;34;13
MF-15506;Maroc Mint - Flavorist Aroma 10ml;16;29;30;14
MF-15507;Tabak Royal - Flavorist Aroma 10ml;13;34;29;37
MF-15518;Apple Cranberry Ice - Dr. Frost Liquid 100ml 0mg;1;1;0;
MF-15561;Samsung INR21700 40T 4000mAh 3,7V Flat Top;30;14;18;24
MF-15573.1;Uwell Crown 4 Verdampferköpfe (4er Pack), Dual SS904L 0,4 Ohm;18;2;6;8
MF-15573.3;Uwell Crown 4 Verdampferköpfe (4er Pack), UN2 0,23 Ohm;36;41;31;22
MF-15587;Uwell Whirl Ersatzverdampferköpfe 4Set, NiCH 1,8 Ohm;15;5;5;
MF-15587.1;Uwell Whirl Ersatzverdampferköpfe 4Set, NiCH 0,6 Ohm;43;35;31;22
MF-1562;Samsung INR18650-25R 2500 mAh;1;;;
MF-15629;Amarena - Classic Dampf Co. Aroma 10ml;9;9;7;3
MF-15630;Apfel Pink Delicious - Classic Dampf Co. Aroma 10ml;6;1;8;3
MF-15631;Beerenmix - Classic Dampf Co. Aroma 10ml;31;19;20;4
MF-15633;Cappuccino - Classic Dampf Co. Aroma 10ml;15;;4;3
MF-15635;Wassermelone - Classic Dampf Co. Aroma 10ml;42;7;30;7
MF-15636;Honigmelone - Classic Dampf Co. Aroma 10ml;13;8;7;5
MF-15638;Heidelbeer - Classic Dampf Co. Aroma 10ml;6;7;7;5
MF-15640;Mela - Classic Dampf Co. Aroma 10ml;5;5;3;5
MF-15641;Erdbeer - Classic Dampf Co. Aroma 10ml;20;20;11;9
MF-15643;Citrum - Classic Dampf Co. Aroma 10ml;17;9;6;5
MF-15651;Waldmeister - Classic Dampf Co. Aroma 10ml;14;7;5;10
MF-15685;BLACK KNIGHT - Dampflion Aroma 10ml;522;19;69;314
MF-15686;BLACK KING - Dampflion Aroma 10ml;3486;3107;900;2591
MF-15687;BLACK QUEEN - Dampflion Aroma 10ml;6096;2867;1181;4082
MF-15745;250x Papiertüte 22+10x28cm medium;1;4;1;3
MF-15746;250x Papiertüte 18+8x22cm small;3;;8;
MF-16034;JAC Vapour VIM Ersatztank;5;;;
MF-16038;Berry Mint - 5EL Aroma 10ml;26;15;13;13
MF-16039;Fruity Mix - 5EL Aroma 10ml;33;9;17;15
MF-16040;Double Melon - 5EL Aroma 10ml;26;25;17;19
MF-16041;Deli Raspberry - 5EL Aroma 10ml;23;24;8;12
MF-16042;Berry Marmalade - 5EL Aroma 10ml;15;2;10;13
MF-16043;Belgian Waffle - 5EL Aroma 10ml;15;9;19;6
MF-16156;Uwell Caliburn Ersatz Pod 4st.;4;1;4;
MF-16168;Brombeer - Classic Dampf Co. Aroma 10ml;5;4;2;3
MF-16171;Limette - Classic Dampf Co. Aroma 10ml;6;4;4;2
MF-16175;Himbeer - Classic Dampf Co. Aroma 10ml;8;;14;4
